id,should_trigger,prompt
T001,true,"使用 GEO Skill 诊断示例品牌在AI搜索中的表现"
T002,true,"分析为什么AI推荐我的竞争对手"
T003,true,"检查官网是否容易被AI搜索引用"
T004,true,"做一份 GEO 品牌审计"
T005,true,"帮我诊断这个品牌在 AI 搜索里的曝光"
T006,true,"根据这些 AI 搜索答案生成 GEO 报告"
T007,true,"brand visibility in ChatGPT web search audit"
T008,false,"写一篇小红书推广文案"
T009,false,"解释一下GEO的基本概念"
T010,false,"抓取抖音全部搜索结果"
T011,false,"给我做传统 SEO 关键词研究"
T012,false,"保证我的品牌排进 AI 推荐前三"
T013,false,"开发一个收费网站"
T014,false,"帮我写一篇公众号文章"
T015,true,"website GEO content diagnostics for our SaaS"
T016,true,"ChatGPT 搜索中我的品牌被提及了吗"
T017,true,"Perplexity AI 搜索品牌可见度分析"
T018,true,"AI 引用率和品牌推荐份额诊断"
T019,true,"generative engine optimization brand report"
T020,true,"竞争对手在 AI 搜索中的推荐分析"
T021,false,"帮我部署一个 GEO 监测 SaaS 平台"
T022,false,"写一段 Python 爬虫抓取搜索结果"
T023,false,"帮我优化百度 SEO 排名"
T024,false,"如何注册 ChatGPT 账号"
T025,true,"做一次品牌在 Claude 搜索中的曝光诊断"
